0	NoCut	2.74e+08	8.74e+07	3.135
1	MET-Trigger	1.45e+08	1.14e+07	12.771
2	Electron-Trigger	8.41e+05	5.98e+05	1.405
3	MET-Filter	8.37e+05	5.97e+05	1.401
4	$N_{tau}=0$	8.22e+05	5.92e+05	1.389
5	$N_{\gamma}=0$	8.05e+05	5.83e+05	1.379
6	HEM-veto	7.27e+05	5.67e+05	1.283
7	$N_{e}=1$	4.40e+05	3.94e+05	1.117
8	$p_{T}^{miss}>50$GeV	4.33e+05	3.92e+05	1.104
9	Recoil$>250$GeV	2.02e+05	2.27e+05	0.891
10	N(FatJet)=1	4.00e+04	3.92e+04	1.019
11	$N_{IsoAddjet}\leq2$	3.15e+04	3.04e+04	1.034
12	$N_{IsoLooseBtagjet}=1$	8.88e+03	9.92e+03	0.895
